,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
0,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,0,69,1.9329999999999998,1.9329999999999998,0.021996021270751953,"[1, 7, 2, 0, 7, 6, 5, 6, 0, 3, 6, 1, 0, 1, 0, 0, 1, 1, 0, 5, 4, 1, 0, 7, 6, 5, 4, 7, 3, 2, 3, 3, 2, 2, 6, 0, 3, 2, 1, 5, 6, 1, 0, 0, 0, 0, 1, 7, 4, 7, 6, 5, 3, 3, 7, 1, 7, 2, 0, 7, 6, 5, 6, 5, 3, 2, 6, 5, 3, 3]",0,0
1,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,1,99,-0.09900000000000007,1.8339999999999999,0.11300015449523926,"[1, 0, 1, 7, 6, 5, 3, 3, 7, 0, 2, 2, 3, 2, 2, 2, 0, 0, 1, 1, 3, 3, 3, 3, 1, 1, 1, 1, 1, 6, 2, 3, 3, 0, 1, 0, 1, 2, 3, 0, 1, 0, 6, 3, 0, 1, 2, 3, 2, 3, 0, 6, 3, 2, 3, 0, 1, 0, 6, 3, 2, 2, 2, 4, 1, 1, 5, 2, 3, 3, 2, 2, 3, 3, 2, 4, 1, 0, 1, 0, 7, 2, 3, 4, 7, 3, 2, 6, 5, 2, 0, 0, 1, 0, 1, 0, 1, 0, 1, 7]",0,0
2,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,2,41,1.962,3.796,0.045999765396118164,"[1, 7, 2, 3, 3, 3, 7, 4, 3, 2, 3, 2, 3, 2, 3, 1, 0, 1, 4, 3, 1, 0, 1, 4, 2, 3, 3, 1, 1, 0, 4, 7, 1, 1, 0, 7, 3, 2, 3, 2, 3, 3]",0,0
3,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,3,41,1.96,5.756,0.04700064659118652,"[1, 7, 2, 3, 3, 3, 3, 2, 7, 0, 1, 0, 2, 3, 1, 4, 3, 2, 3, 1, 4, 2, 3, 3, 2, 7, 4, 7, 0, 2, 3, 1, 0, 1, 0, 1, 1, 7, 2, 3, 3, 3]",0,0
4,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,4,18,1.983,7.739000000000001,0.02299976348876953,"[1, 7, 4, 7, 3, 3, 3, 2, 3, 1, 0, 1, 0, 2, 7, 1, 7, 3, 3]",0,0
5,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,5,45,1.956,9.695,0.05199909210205078,"[1, 1, 3, 3, 3, 3, 2, 2, 3, 3, 1, 0, 1, 0, 1, 0, 1, 4, 3, 2, 3, 1, 4, 3, 1, 4, 3, 1, 0, 2, 7, 0, 2, 7, 0, 1, 0, 2, 3, 2, 3, 1, 1, 7, 3, 3]",0,0
6,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,6,12,1.9889999999999999,11.684000000000001,0.015001773834228516,"[1, 7, 3, 3, 3, 1, 1, 7, 4, 1, 3, 3, 3]",0,0
7,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,7,9,1.992,13.676000000000002,0.012000560760498047,"[1, 7, 3, 3, 3, 1, 1, 7, 3, 3]",0,0
8,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,8,17,1.984,15.660000000000002,0.02299976348876953,"[1, 7, 3, 2, 4, 1, 3, 4, 7, 3, 3, 7, 1, 7, 6, 5, 3, 3]",0,0
9,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,9,15,1.986,17.646,0.022001028060913086,"[1, 7, 3, 3, 7, 1, 0, 4, 3, 1, 0, 1, 1, 7, 3, 3]",0,0
