,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
0,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,0,10,1.991,1.991,0.0021703243255615234,"[2, 6, 1, 3, 2, 3, 2, 0, 1, 3, 3]",0,0
1,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,1,8,1.9929999999999999,3.984,0.0,"[2, 2, 1, 0, 1, 0, 1, 7, 3]",0,0
2,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,2,39,1.972,5.9559999999999995,0.0029990673065185547,"[2, 3, 2, 2, 3, 3, 2, 2, 1, 5, 6, 1, 0, 1, 3, 4, 7, 4, 5, 3, 2, 2, 3, 2, 1, 1, 0, 5, 3, 2, 6, 0, 1, 0, 3, 6, 0, 1, 7, 3]",0,0
3,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,3,43,1.9689999999999999,7.924999999999999,0.04154157638549805,"[2, 3, 2, 3, 2, 2, 3, 3, 2, 2, 1, 5, 2, 1, 0, 3, 3, 2, 3, 2, 2, 3, 3, 2, 6, 1, 0, 0, 1, 5, 6, 1, 3, 2, 3, 2, 0, 1, 3, 4, 7, 2, 3, 3]",0,0
4,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,4,20,1.988,9.912999999999998,0.021018028259277344,"[2, 2, 1, 5, 2, 3, 3, 2, 3, 2, 3, 2, 2, 3, 6, 5, 2, 1, 1, 3, 3]",0,0
5,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,5,19,1.9889999999999999,11.901999999999997,0.023523807525634766,"[2, 2, 1, 5, 2, 3, 2, 3, 2, 3, 2, 3, 3, 2, 2, 3, 2, 1, 7, 3]",0,0
6,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,6,15,1.9889999999999999,13.890999999999998,0.017511844635009766,"[2, 3, 2, 3, 2, 3, 2, 2, 1, 7, 2, 3, 2, 0, 7, 3]",0,0
7,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,7,9,1.9929999999999999,15.883999999999999,0.010445594787597656,"[2, 2, 3, 6, 7, 2, 0, 1, 3, 3]",0,0
8,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,8,49,1.971,17.854999999999997,0.0500485897064209,"[2, 3, 2, 3, 2, 6, 1, 3, 4, 0, 3, 2, 1, 0, 3, 3, 2, 3, 2, 3, 2, 6, 1, 0, 5, 3, 2, 3, 2, 3, 2, 2, 3, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 6, 7, 3]",0,0
9,"DQN_language_default_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,9,5,1.9969999999999999,19.851999999999997,0.005002737045288086,"[2, 3, 2, 6, 7, 3]",0,0
